"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.251699930E-1,-8.188169599E-1,-5.458779931E-1,9.825803757E0
4.271859220E-1,-8.283938169E-1,-5.363011956E-1,9.832986832E0
4.291675420E-1,-8.259995580E-1,-5.458779931E-1,9.835380554E0
4.311831630E-1,-8.212111592E-1,-5.458779931E-1,9.856928825E0
4.331663210E-1,-8.116343617E-1,-5.147533417E-1,9.859322548E0
4.351791740E-1,-8.188169599E-1,-5.171475410E-1,9.866505623E0
4.371638710E-1,-8.236053586E-1,-5.267243981E-1,9.873687744E0
4.391777220E-1,-8.355764151E-1,-5.315127969E-1,9.861717224E0
4.411611120E-1,-8.259995580E-1,-5.386953950E-1,9.856928825E0
4.431755790E-1,-8.140285611E-1,-5.243301988E-1,9.837775230E0
4.451592000E-1,-7.924807668E-1,-5.219359994E-1,9.821015358E0
4.471731280E-1,-7.876923680E-1,-5.386953950E-1,9.830592155E0
4.491869790E-1,-8.116343617E-1,-5.267243981E-1,9.842563629E0
4.511696760E-1,-8.116343617E-1,-5.267243981E-1,9.842563629E0
4.531847590E-1,-8.092401624E-1,-5.267243981E-1,9.837775230E0
4.551697640E-1,-8.020575643E-1,-5.506663918E-1,9.816226959E0
4.571826920E-1,-8.044517636E-1,-5.578489900E-1,9.809044838E0
4.591663130E-1,-8.164227605E-1,-5.602431893E-1,9.804255486E0
4.611808570E-1,-8.116343617E-1,-5.578489900E-1,9.825803757E0
4.631647850E-1,-8.044517636E-1,-5.506663918E-1,9.821015358E0
4.651790210E-1,-7.996633649E-1,-5.434837937E-1,9.813833237E0
4.671633340E-1,-8.020575643E-1,-5.458779931E-1,9.794678688E0
4.691777240E-1,-8.116343617E-1,-5.506663918E-1,9.787496567E0
4.711611910E-1,-8.259995580E-1,-5.363011956E-1,9.780313492E0
4.731750420E-1,-8.236053586E-1,-5.458779931E-1,9.782708168E0
4.751581240E-1,-8.236053586E-1,-5.650315881E-1,9.785101891E0
4.771722070E-1,-8.403648138E-1,-5.746083856E-1,9.775525093E0
4.791860580E-1,-8.331822157E-1,-5.530605912E-1,9.775525093E0
4.811703710E-1,-8.236053586E-1,-5.554547906E-1,9.773131371E0
4.831842220E-1,-8.236053586E-1,-5.434837937E-1,9.768342972E0
4.851679960E-1,-8.283938169E-1,-5.315127969E-1,9.756371498E0
4.871815410E-1,-8.475474119E-1,-5.315127969E-1,9.732429504E0
4.891655460E-1,-8.571242094E-1,-5.339069963E-1,9.732429504E0
4.911803200E-1,-8.667010069E-1,-5.315127969E-1,9.737217903E0
4.931630940E-1,-8.619126081E-1,-5.363011956E-1,9.744400978E0
4.951774850E-1,-8.451532125E-1,-5.219359994E-1,9.742006302E0
4.971615670E-1,-8.379706144E-1,-5.195417404E-1,9.739612579E0
4.991754180E-1,-8.427590132E-1,-5.195417404E-1,9.742006302E0
5.011591150E-1,-8.619126081E-1,-5.123591423E-1,9.746794701E0
5.031738130E-1,-8.667010069E-1,-5.099649429E-1,9.749189377E0
5.051882800E-1,-8.714894056E-1,-5.123591423E-1,9.753977776E0
5.071710540E-1,-8.714894056E-1,-5.051765442E-1,9.739612579E0
5.091855210E-1,-8.667010069E-1,-4.979939461E-1,9.742006302E0
5.111701420E-1,-8.667010069E-1,-4.979939461E-1,9.751583099E0
5.131824550E-1,-8.690952063E-1,-5.123591423E-1,9.758766174E0
5.151665370E-1,-8.834604025E-1,-5.147533417E-1,9.761159897E0
5.171803880E-1,-8.882488012E-1,-5.291185975E-1,9.749189377E0
5.191646240E-1,-8.858546019E-1,-5.243301988E-1,9.744400978E0
5.211787830E-1,-8.690952063E-1,-5.291185975E-1,9.768342972E0
5.231627880E-1,-8.595184088E-1,-5.171475410E-1,9.777919769E0
5.251766400E-1,-8.690952063E-1,-5.243301988E-1,9.780313492E0
5.271597220E-1,-8.643068075E-1,-5.363011956E-1,9.794678688E0
5.291754200E-1,-8.427590132E-1,-5.291185975E-1,9.801861763E0
5.311597330E-1,-8.523358107E-1,-5.291185975E-1,9.813833237E0
5.331720450E-1,-8.595184088E-1,-5.195417404E-1,9.825803757E0
5.351862810E-1,-8.451532125E-1,-5.339069963E-1,9.821015358E0
5.371699020E-1,-8.451532125E-1,-5.267243981E-1,9.816226959E0
5.391841380E-1,-8.331822157E-1,-5.243301988E-1,9.811438560E0
5.411677590E-1,-8.355764151E-1,-5.267243981E-1,9.806650162E0
5.431816100E-1,-8.283938169E-1,-5.243301988E-1,9.801861763E0
5.451656930E-1,-8.164227605E-1,-5.123591423E-1,9.818621635E0
5.471806980E-1,-7.972691655E-1,-5.171475410E-1,9.832986832E0
